MHC,Number_of_binders,PCC,ANN_error,AUC,Optimal_parameters
B5401,174,0.4753841757774353,0.0819905623793602,0.7145748987854251,"(64, 0.01)"
B3501,525,0.6446644067764282,0.03805676847696304,0.6847222222222222,"(2, 0.1)"
A3101,1442,0.6882213354110718,0.032082878053188324,0.7550173010380623,"(4, 0.1)"
B2705,913,0.5437137484550476,0.012798851355910301,0.6504504504504505,"(2, 0.1)"
A2902,92,0.5090713500976562,0.07938388735055923,0.6825396825396826,"(4, 0.01)"
A0203,804,0.7989039421081543,0.041467905044555664,0.8084829183555299,"(6, 0.1)"
A0202,798,0.6925908327102661,0.049493592232465744,0.8009194961927111,"(6, 0.1)"
B4001,1038,0.2560811936855316,0.0155343534424901,0.5,"(4, 0.1)"
B5301,148,0.325639933347702,0.1075090616941452,0.6548387096774193,"(64, 0.01)"
A3002,63,-0.11812526732683182,0.09217741340398788,0.4642857142857143,"(6, 0.001)"
B5701,48,0.22368738055229187,0.11287698149681091,0.6,"(128, 0.001)"
A2403,225,0.17286589741706848,0.04832247272133827,0.46938775510204084,"(64, 0.1)"
A6801,643,0.6592318415641785,0.051321037113666534,0.7512288786482335,"(2, 0.1)"
A0301,1577,0.7805426120758057,0.025415409356355667,0.804554222677678,"(2, 0.1)"
A2402,98,0.33640584349632263,0.061436962336301804,0.7255639097744361,"(6, 0.01)"
A2601,619,0.5080810189247131,0.019235793501138687,0.6666666666666666,"(6, 0.1)"
B5801,884,0.8224053978919983,0.010928445495665073,0.8097172570685732,"(2, 0.1)"
A3301,956,0.5695955157279968,0.03325353562831879,0.6672670705747503,"(6, 0.1)"
B1801,71,0.5814617276191711,0.035422053188085556,0.7785714285714287,"(64, 0.1)"
A2301,55,0.5897973775863647,0.05854406952857971,0.6681818181818182,"(64, 0.01)"
B0801,688,0.19929665327072144,0.013064385391771793,0.5,"(4, 0.01)"
B4402,75,0.556360125541687,0.030918041244149208,0.5,"(4, 0.1)"
A0206,924,0.707467794418335,0.046543799340724945,0.794578063445988,"(6, 0.1)"
A0201,1908,0.781072735786438,0.04336952790617943,0.8489917200854701,"(6, 0.1)"
A6901,747,0.45471274852752686,0.024261143058538437,0.5926573426573427,"(6, 0.1)"
B4002,79,0.2669607400894165,0.07195774465799332,0.6777777777777778,"(128, 0.001)"
B4403,85,0.5853915810585022,0.03027801401913166,0.6974789915966386,"(64, 0.1)"
B1501,799,0.6867058277130127,0.016026336699724197,0.6652981427174975,"(2, 0.1)"
B5101,159,0.4985587000846863,0.07112325727939606,0.660394265232975,"(4, 0.01)"
A1101,1292,0.7110900282859802,0.03701474145054817,0.7908834586466165,"(4, 0.1)"
A3001,592,0.6484481692314148,0.025241637602448463,0.7142403051493962,"(6, 0.1)"
B4501,65,0.5166059136390686,0.027542822062969208,0.5634920634920635,"(64, 0.1)"
B0702,1054,0.7399436831474304,0.021324455738067627,0.8450460829493088,"(4, 0.1)"
A0101,1054,0.7930020093917847,0.009822708554565907,0.8311320754716981,"(4, 0.1)"
A6802,1037,0.6288416981697083,0.047793999314308167,0.6840579710144927,"(6, 0.1)"
