Dataset	PCC	MSE
A0101	0.8173171877861023	0.013144966214895248
A0201	0.8072555661201477	0.03407297283411026
A0202	0.7203223705291748	0.0463995523750782
A0203	0.7949044108390808	0.038120780140161514
A0206	0.7688464522361755	0.033266182988882065
A0301	0.7643585205078125	0.03026910498738289
A1101	0.8014194965362549	0.030458606779575348
A2301	0.8097711801528931	0.029323510825634003
A2402	0.7945157885551453	0.03006735071539879
A2403	0.8809939026832581	0.01023900043219328
A2601	0.4655495285987854	0.018349451944231987
A2902	0.7793725728988647	0.03054693154990673
A3001	0.7641184329986572	0.019112244248390198
A3002	0.7358584403991699	0.02202611416578293
A3101	0.7403300404548645	0.028714731335639954
A3301	0.6708113551139832	0.0285995714366436
A6801	0.6870966553688049	0.04507288336753845
A6802	0.6086527705192566	0.04328048601746559
A6901	0.6036717295646667	0.017864670604467392
B0702	0.842264711856842	0.013006707653403282
B0801	0.3373923599720001	0.006291843485087156
B1501	0.7418382167816162	0.01619664765894413
B1801	0.8790497779846191	0.009185119532048702
B2705	0.6298754215240479	0.004147424828261137
B3501	0.6343100070953369	0.04083504155278206
B4001	0.48604193329811096	0.013034912757575512
B4002	0.7095227241516113	0.01689031906425953
B4402	0.7396860718727112	0.009002694860100746
B4403	0.7096003293991089	0.006725653074681759
B4501	0.8796367645263672	0.007119825109839439
B5101	0.8194594979286194	0.03988253325223923
B5301	0.7804797887802124	0.047341421246528625
B5401	0.7800478935241699	0.039646342396736145
B5701	0.816774845123291	0.007467289920896292
B5801	0.8326234817504883	0.010290032252669334
