MHC,Number_of_binders,PCC,ANN_error,AUC,nh,nPeptide
A0101,1054,0.6653547883033752,0.013711730018258,0.5952830188679246,2,1157
A0201,1908,0.808383047580719,0.0443938560783863,0.8481570512820513,2,3089
A0202,798,0.7305051684379578,0.0532065443694591,0.7930415209999522,2,1447
A0203,804,0.7975121736526489,0.0410504601895809,0.8066734221192821,2,1443
A0206,924,0.7394204139709473,0.0443652272224426,0.792245490358698,2,1437
A0301,1577,0.7681276202201843,0.0266392100602388,0.7919253722346132,2,2094
A1101,1292,0.7058713436126709,0.0383301153779029,0.8115174299384825,2,1985
A2301,55,0.374750941991806,0.0730179473757743,0.5681818181818182,2,104
A2402,98,0.4128942489624023,0.060069091618061,0.7543859649122807,2,197
A2403,225,0.466174453496933,0.0288430117070674,0.7091836734693878,2,254
A2601,619,0.0643341988325119,0.0253286119550466,0.5,2,672
A2902,92,0.6503098607063293,0.0851927548646926,0.5793650793650793,2,160
A3001,592,0.6738742589950562,0.0227678157389163,0.7485696122059757,2,669
A3002,63,0.2565915584564209,0.0874217972159385,0.5142857142857143,2,92
A3101,1442,0.7127971649169922,0.03013901039958,0.7650519031141869,2,1869
A3301,956,0.5483011603355408,0.0336110107600688,0.6384476829867365,2,1140
A6801,643,0.680664598941803,0.0508055537939071,0.7208525345622119,2,1141
A6802,1037,0.619013249874115,0.0503647364675998,0.6946209587513935,2,1434
A6901,747,0.5436590909957886,0.019780246540904,0.531968031968032,2,833
B0702,1054,0.7750064134597778,0.0185868293046951,0.8519585253456221,2,1262
B0801,688,0.1247205287218093,0.0125942016020417,0.5,2,708
B1501,799,0.6776760816574097,0.0159920919686555,0.5,2,978
B1801,71,0.7736837267875671,0.0229609105736017,0.7785714285714287,2,118
B2705,913,0.4129604399204254,0.0117990281432867,0.5,2,969
B3501,525,0.5205281972885132,0.0498018376529216,0.6097222222222222,2,736
B4001,1038,0.4939648807048797,0.0125749548897147,0.5,2,1078
B4002,79,0.7547040581703186,0.0257419031113386,0.7111111111111112,2,118
B4402,75,-0.5152462124824524,0.045074176043272,0.5,2,119
B4403,85,0.0,0.0434537231922149,0.5,2,119
B4501,65,0.1474171131849289,0.0455513708293437,0.4523809523809523,2,114
B5101,159,0.5662533640861511,0.0574468113481998,0.739247311827957,2,244
B5301,148,0.5656152367591858,0.0571847520768642,0.6693548387096774,2,254
B5401,174,0.8132859468460083,0.0325504504144191,0.8309716599190283,2,255
B5701,48,0.957349181175232,0.0182301513850688,0.7,2,59
B5801,884,0.8105425834655762,0.0115193184465169,0.7830679233019175,2,988
A0101,1054,0.7322897911071777,0.0116193983703851,0.7632075471698113,4,1157
A0201,1908,0.7968156933784485,0.0453691780567169,0.8409121260683761,4,3089
A0202,798,0.7341047525405884,0.0516474917531013,0.7846367511134524,4,1447
A0203,804,0.7809032201766968,0.0407394096255302,0.8142491796950396,4,1443
A0206,924,0.7356932163238525,0.0441888235509395,0.7761248185776488,4,1437
A0301,1577,0.7602566480636597,0.0274476055055856,0.812315389716077,4,2094
A1101,1292,0.7215642929077148,0.0366343967616558,0.8041125541125541,4,1985
A2301,55,0.4979468882083893,0.0687773525714874,0.6181818181818183,4,104
A2402,98,0.4162067174911499,0.0561958663165569,0.7305764411027569,4,197
A2403,225,0.5335401892662048,0.0301868300884962,0.9591836734693878,4,254
A2601,619,0.4144072234630584,0.0215055327862501,0.5476190476190477,4,672
A2902,92,0.284182995557785,0.0909863263368606,0.6111111111111112,4,160
A3001,592,0.67946457862854,0.0232679694890975,0.7403051493960584,4,669
A3002,63,0.0623977370560169,0.1436686217784881,0.4857142857142856,4,92
A3101,1442,0.6745120882987976,0.0330473482608795,0.754325259515571,4,1869
A3301,956,0.5270702242851257,0.0358785092830657,0.712379236941215,4,1140
A6801,643,0.6366922855377197,0.0512276999652385,0.7157066052227343,4,1141
A6802,1037,0.617761492729187,0.0518661327660083,0.6377090301003344,4,1434
A6901,747,0.6272605657577515,0.0171128325164318,0.7242757242757244,4,833
B0702,1054,0.7433328628540039,0.0210703946650028,0.83115719406042,4,1262
B0801,688,0.398165762424469,0.0107865333557128,0.5,4,708
B1501,799,0.7397727370262146,0.0134061807766556,0.7167155425219942,4,978
B1801,71,0.8273123502731323,0.0188016314059495,0.8785714285714286,4,118
B2705,913,0.3430059254169464,0.0131537988781929,0.5,4,969
B3501,525,0.5990017056465149,0.0397840328514575,0.6814814814814815,4,736
B4001,1038,0.1422926783561706,0.0162507761269807,0.5,4,1078
B4002,79,0.4518346786499023,0.0451528616249561,0.5,4,118
B4402,75,0.265965074300766,0.0421286709606647,0.5555555555555556,4,119
B4403,85,0.0,0.0434537194669246,0.5,4,119
B4501,65,0.1361510157585144,0.0373211838304996,0.5,4,114
B5101,159,0.6020122766494751,0.0855185464024543,0.6908602150537635,4,244
B5301,148,0.5613404512405396,0.0552042871713638,0.6282258064516129,4,254
B5401,174,0.8149809837341309,0.0330177024006843,0.8825910931174089,4,255
B5701,48,0.8578321933746338,0.0650742724537849,0.5,4,59
B5801,884,0.809428334236145,0.012251934967935,0.7830679233019175,4,988
A0101,1054,0.7152122855186462,0.0121213709935545,0.6655660377358491,6,1157
A0201,1908,0.8015347719192505,0.0465644001960754,0.8385750534188035,6,3089
A0202,798,0.7165614366531372,0.052174337208271,0.776543269000527,6,1447
A0203,804,0.8254418969154358,0.0354317054152488,0.8403300521134917,6,1443
A0206,924,0.728156328201294,0.0433536283671855,0.7788720713249015,6,1437
A0301,1577,0.7758690118789673,0.0259521882981061,0.8171830731207426,6,2094
A1101,1292,0.7038887143135071,0.0386644229292869,0.772001025290499,6,1985
A2301,55,0.6727685928344727,0.0834463611245155,0.65,6,104
A2402,98,0.3522617220878601,0.0737967044115066,0.6729323308270677,6,197
A2403,225,0.4400385320186615,0.0352767594158649,0.6989795918367346,6,254
A2601,619,0.6730349063873291,0.0137107204645872,0.7777777777777778,6,672
A2902,92,0.6610962152481079,0.0725360885262489,0.7222222222222221,6,160
A3001,592,0.6774423122406006,0.0232451763004064,0.7870311506675143,6,669
A3002,63,-0.0699507966637611,0.1066822260618209,0.5285714285714286,6,92
A3101,1442,0.7061981558799744,0.0303705614060163,0.782006920415225,6,1869
A3301,956,0.5592638850212097,0.0340997241437435,0.7386605534632389,6,1140
A6801,643,0.688715398311615,0.047626756131649,0.7439324116743472,6,1141
A6802,1037,0.5709303021430969,0.0511612892150878,0.6778985507246377,6,1434
A6901,747,0.6012042760848999,0.0178252570331096,0.6441058941058941,6,833
B0702,1054,0.740368664264679,0.0212841778993606,0.8172683051715309,6,1262
B0801,688,0.3690333962440491,0.0110731171444058,0.5,6,708
B1501,799,0.639665424823761,0.0178213287144899,0.5977517106549365,6,978
B1801,71,0.8429896235466003,0.0186527725309133,0.9142857142857144,6,118
B2705,913,0.4997858703136444,0.0109550533816218,0.5528528528528529,6,969
B3501,525,0.6011328101158142,0.0430252514779567,0.7615740740740741,6,736
B4001,1038,0.4095796644687652,0.013713352382183,0.55,6,1078
B4002,79,0.8519259691238403,0.025753179565072,0.9111111111111112,6,118
B4402,75,0.5365308523178101,0.0378209166228771,0.5555555555555556,6,119
B4403,85,0.717610776424408,0.0227610543370246,0.5252100840336134,6,119
B4501,65,0.6649003624916077,0.0240457411855459,0.8015873015873016,6,114
B5101,159,0.533539891242981,0.0855079963803291,0.6469534050179211,6,244
